"ID","offering_highest_level","inst_control","institution_level","sector","hbcu","hospital","medical_degree","tribal_college","urban_centric_locale","offering_highest_degree","offering_grad","inst_system_flag","inst_category","land_grant","inst_size","cc_basic_2018","cc_instruc_undergrad_2018","cc_instruc_grad_2018","cc_undergrad_2018","cc_enroll_2018","cc_size_setting_2018","cc_class","geo_region","HasCTL","SoTL","DBER","TAR","EdRes","Reference","CuratedResourceCollections","Unprogramming","SoTLHowtoWorkshops","OneonOneConsultations","SoTLProjectDevelopmentInstitutes","SoTLWritingRetreats","SoTLFacultyLearningCommunity","CTLCollaborations","TraintheTrainerModel","StudentsasPartnersinSoTL","IncentivesforSoTLProjects","AwardsorTitlesRecognizingSoTLWork","LocalSoTLShowcases"
11,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Special-focus four-year: Other health professions schools","Professions focus high graduate coexistence","Research doctoral: Professional-dominant","Four-year nearly all full-time selective acceptance higher transfer-in","Majority undergraduate","Four-year medium primarily residential","Special focus institution","New England",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
12,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,TRUE,FALSE,"City midsize","Doctor's degree research/scholarship and professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",TRUE,"20K","Doctoral universities: Very high research activity","Balanced arts & sciences/professions high graduate coexistence","Research doctoral: Comprehensive programs with medical/veterinary school","Four-year nearly all full-time highly selective acceptance higher transfer-in","High undergraduate","Four-year large primarily residential","Doctoral universities Very high research activity","Rocky Mountains",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,"Bachelor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City small","Bachelor's degree",FALSE,TRUE,"Degree-granting not primarily baccalaureate or above",FALSE,"10K","Baccalaureate/associate's colleges: Associate's-dominant","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year mostly part-time","Exclusively undergraduate four-year","Four-year medium primarily nonresidential","Baccalaureate associates colleges Associates dominant","Mid East",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Town fringe","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Mixed transfer/vocational focus mixed traditional/nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Mixed transfer vocational focus","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Town remote","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Vocational-focused mixed traditional/nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Vocational focused","Plains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Suburb midsize","Doctor's degree research/scholarship and professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",TRUE,"10K","Doctoral universities: High research activity","Professions plus arts & sciences high graduate coexistence","Research doctoral: Comprehensive programs no medical/veterinary school","Four-year nearly all full-time inclusive acceptance higher transfer-in","High undergraduate","Four-year large primarily nonresidential","Doctoral universities High research activity","Southwest",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Bachelor's degree",FALSE,TRUE,"Degree-granting not primarily baccalaureate or above",FALSE,"Under 1K","Baccalaureate/associate's colleges: Mixed baccalaureate/associate's","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year mostly full-time inclusive acceptance higher transfer-in","Exclusively undergraduate four-year","Four-year very small primarily nonresidential","Baccalaureate associates colleges Mixed baccalaureate associates","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Suburb large","Bachelor's degree",FALSE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Baccalaureate/associate's colleges: Mixed baccalaureate/associate's","Baccalaureate/associate's colleges","Not classified (exclusively undergraduate)","Four-year nearly all full-time inclusive acceptance lower transfer-in","Exclusively undergraduate four-year","Four-year small highly residential","Baccalaureate associates colleges Mixed baccalaureate associates","New England",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Bachelor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Bachelor's degree",FALSE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"Under 1K","Baccalaureate colleges: Diverse fields","Professions plus arts & sciences no graduate coexistence","Not classified (exclusively undergraduate)","Four-year mostly full-time selective acceptance lower transfer-in","Exclusively undergraduate four-year","Four-year very small primarily residential","Baccalaureate colleges Diverse fields","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Medium programs","Professions focus some graduate coexistence","Research doctoral: Single program&ndash,Other","Four-year mostly full-time inclusive acceptance higher transfer-in","High undergraduate","Four-year small primarily residential","Masters colleges universities Medium programs","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,TRUE,TRUE,FALSE,"City large","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"20K","Doctoral universities: Very high research activity","Balanced arts & sciences/professions high graduate coexistence","Research doctoral: Comprehensive programs with medical/veterinary school","Four-year nearly all full-time highly selective acceptance higher transfer-in","Majority undergraduate","Four-year large primarily residential","Doctoral universities Very high research activity","Southeast",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Doctor's degree professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Doctoral/professional universities","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Business-dominant with arts & aciences programs","Four-year mostly part-time","Majority graduate","Four-year medium primarily nonresidential","Doctoral professional universities","Rocky Mountains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Doctor's degree","Public","Four or more years","Public four-year or above",TRUE,FALSE,FALSE,FALSE,"City large","Doctor's degree research/scholarship",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Doctoral universities: High research activity","Professions plus arts & sciences some graduate coexistence","Research doctoral: Professional-dominant","Four-year nearly all full-time inclusive acceptance higher transfer-in","High undergraduate","Four-year medium primarily residential","Doctoral universities High research activity","Mid East",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City small","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Vocational-focused mostly nontraditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Vocational focused","Great Lakes",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Small programs","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Business-dominant with other professional programs","Four-year nearly all full-time selective acceptance higher transfer-in","Very high undergraduate","Four-year small primarily residential","Masters colleges universities Small programs","Great Lakes",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Doctor's degree research/scholarship",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Master's colleges & universities: Large programs","Balanced arts & sciences/professions some graduate coexistence","Research doctoral: Single program&ndash,Other","Four-year mostly full-time inclusive acceptance higher transfer-in","Very high undergraduate","Four-year medium primarily nonresidential","Masters colleges universities Large programs","Southwest",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Suburb midsize","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Baccalaureate colleges: Diverse fields","Balanced arts & sciences/professions some graduate coexistence","Postbaccalaureate: Education-dominant with arts & sciences programs","Four-year nearly all full-time selective acceptance lower transfer-in","Very high undergraduate","Four-year small highly residential","Baccalaureate colleges Diverse fields","Great Lakes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
28,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"City large","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Medium programs","Professions focus some graduate coexistence","Postbaccalaureate: Business-dominant with arts & aciences programs","Four-year nearly all full-time inclusive acceptance higher transfer-in","High undergraduate","Four-year small primarily nonresidential","Masters colleges universities Medium programs","Far West",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"City midsize","Doctor's degree research/scholarship",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"10K","Master's colleges & universities: Large programs","Balanced arts & sciences/professions some graduate coexistence","Postbaccalaureate: Comprehensive programs","Four-year mostly full-time selective acceptance higher transfer-in","Very high undergraduate","Four-year medium primarily nonresidential","Masters colleges universities Large programs","Southeast",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
30,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Rural fringe","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Vocational-focused mostly nontraditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Vocational focused","Plains",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Rural distant","Associate's degree",FALSE,FALSE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Mixed transfer/vocational focus mostly nontraditional students","Associate's colleges: Mixed transfer/vocational focus","Not classified (exclusively undergraduate)","Two-year mostly part-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Mixed transfer vocational focus","Southeast",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Town distant","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Small programs","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Business-dominant with other professional programs","Four-year mostly part-time","Very high undergraduate","Four-year small primarily residential","Masters colleges universities Small programs","Great Lakes",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town distant","Doctor's degree research/scholarship",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"10K","Doctoral/professional universities","Arts & sciences plus professions high graduate coexistence","Research doctoral: Professional-dominant","Four-year mostly full-time selective acceptance higher transfer-in","Majority undergraduate","Four-year medium primarily residential","Doctoral professional universities","Southwest",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Bachelor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Rural fringe","Bachelor's degree",FALSE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Baccalaureate colleges: Diverse fields","Balanced arts & sciences/professions no graduate coexistence","Not classified (exclusively undergraduate)","Four-year nearly all full-time inclusive acceptance higher transfer-in","Exclusively undergraduate four-year","Four-year very small primarily residential","Baccalaureate colleges Diverse fields","New England",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Doctor's degree research/scholarship",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"10K","Master's colleges & universities: Large programs","Professions plus arts & sciences some graduate coexistence","Research doctoral: Single program&ndash,Education","Four-year mostly full-time inclusive acceptance higher transfer-in","Very high undergraduate","Four-year large primarily residential","Masters colleges universities Large programs","Southwest",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"City small","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Vocational-focused mixed traditional/nontraditional students","Associate's colleges: Vocational focus","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Vocational focused","New England",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Doctor's degree professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"1K","Master's colleges & universities: Large programs","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Comprehensive programs","Four-year nearly all full-time selective acceptance higher transfer-in","High undergraduate","Four-year medium primarily residential","Masters colleges universities Large programs","Southwest",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Associate's degree","Public","At least two but less than four years","Public two-year",FALSE,NA,FALSE,FALSE,"Rural fringe","Associate's degree",FALSE,TRUE,"Degree-granting associate's and certificates",FALSE,"1K","Associate's colleges: Transfer-focused mostly traditional students","Associate's colleges: Transfer-focused","Not classified (exclusively undergraduate)","Two-year mixed part/full-time","Exclusively undergraduate two-year","Two-year small","Associates colleges Transfer focused","Mid East",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Master's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,TRUE,"Rural fringe","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",TRUE,"Under 1K","Tribal colleges","Arts & sciences focus some graduate coexistence","Postbaccalaureate: Single program&ndash,Other","Four-year mostly full-time inclusive acceptance higher transfer-in","High undergraduate","Four-year very small primarily residential","Special focus institution","Southwest",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Master's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,FALSE,FALSE,"Rural fringe","Master's degree",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"Under 1K","Baccalaureate colleges: Diverse fields","Professions focus some graduate coexistence","Postbaccalaureate: Single program&ndash,Other","Four-year nearly all full-time inclusive acceptance higher transfer-in","Very high undergraduate","Four-year very small highly residential","Baccalaureate colleges Diverse fields","Southeast",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,TRUE,FALSE,"City large","Doctor's degree research/scholarship and professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",TRUE,"20K","Doctoral universities: Very high research activity","Arts & sciences plus professions high graduate coexistence","Research doctoral: Comprehensive programs with medical/veterinary school","Four-year nearly all full-time highly selective acceptance higher transfer-in","High undergraduate","Four-year large primarily residential","Doctoral universities Very high research activity","Far West",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,"Doctor's degree","Private not-for-profit","Four or more years","Private not-for-profit four-year or above",FALSE,FALSE,TRUE,FALSE,"City large","Doctor's degree research/scholarship and professional practice",TRUE,FALSE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Doctoral universities: High research activity","Balanced arts & sciences/professions some graduate coexistence","Research doctoral: Professional-dominant","Four-year nearly all full-time highly selective acceptance lower transfer-in","Majority graduate","Four-year medium highly residential","Doctoral universities High research activity","Mid East",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Master's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,FALSE,FALSE,"Town remote","Master's degree",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",FALSE,"5K","Master's colleges & universities: Small programs","Professions plus arts & sciences some graduate coexistence","Postbaccalaureate: Business-dominant with other professional programs","Four-year nearly all full-time selective acceptance higher transfer-in","Very high undergraduate","Four-year medium primarily residential","Masters colleges universities Small programs","Southeast",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Doctor's degree","Public","Four or more years","Public four-year or above",FALSE,FALSE,TRUE,FALSE,"City large","Doctor's degree research/scholarship and professional practice",TRUE,TRUE,"Degree-granting primarily baccalaureate or above",TRUE,"20K","Doctoral universities: Very high research activity","Balanced arts & sciences/professions high graduate coexistence","Research doctoral: Comprehensive programs with medical/veterinary school","Four-year nearly all full-time selective acceptance higher transfer-in","High undergraduate","Four-year large primarily nonresidential","Doctoral universities Very high research activity","Far West",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
